"","senator","seniority_date","term","party","state","dob"
"255","Chuck Grassley","January 3, 1981",102,NA,NA,"1933-09-17"
"256","Bob Kasten","January 3, 1981",102,NA,NA,"1942-06-19"
"257","Al D'Amato","January 3, 1981",102,NA,NA,"1937-08-01"
"258","Arlen Specter","January 3, 1981",102,NA,NA,"1930-02-12"
"259","Alan J. Dixon","January 3, 1981",102,NA,NA,"1927-07-07"
"260","Don Nickles","January 3, 1981",102,NA,NA,"1948-12-06"
"261","Frank Murkowski","January 3, 1981",102,NA,NA,"1933-03-28"
"262","Frank Lautenberg","December 27, 1982",102,NA,NA,"1924-01-23"
"263","Pete Wilson","January 3, 1983",102,NA,NA,"1933-08-23"
"264","Jeff Bingaman","January 3, 1983",102,NA,NA,"1943-10-03"
"265","John Kerry","January 2, 1985",102,NA,NA,"1943-12-11"
"266","Paul Simon","January 3, 1985",102,NA,NA,"1941-10-13"
"267","Tom Harkin","January 3, 1985",102,NA,NA,"1939-11-19"
"268","Al Gore","January 3, 1985",102,NA,NA,"1948-03-31"
"269","Phil Gramm","January 3, 1985",102,NA,NA,"1942-07-08"
"270","Mitch McConnell","January 3, 1985",102,NA,NA,"1942-02-20"
"271","Jay Rockefeller","January 15, 1985",102,NA,NA,"1937-06-18"
"272","Terry Sanford","November 5, 1986",102,NA,NA,"1917-08-20"
"273","John Breaux","January 3, 1987",102,NA,NA,"1944-03-01"
"274","Brock Adams","January 3, 1987",102,NA,NA,"1927-01-13"
"275","Tim Wirth","January 3, 1987",102,NA,NA,"1939-09-22"
"276","Barbara Mikulski","January 3, 1987",102,NA,NA,"1936-07-20"
"277","Wyche Fowler","January 3, 1987",102,NA,NA,"1940-10-06"
"278","Richard Shelby","January 3, 1987",102,NA,NA,"1934-05-06"
"279","Tom Daschle","January 3, 1987",102,NA,NA,"1947-12-09"
"280","John McCain","January 3, 1987",102,NA,NA,"1936-08-29"
"281","Harry Reid","January 3, 1987",102,NA,NA,"1939-12-02"
"282","Bob Graham","January 3, 1987",102,NA,NA,"1936-11-09"
"283","Kit Bond","January 3, 1987",102,NA,NA,"1939-03-06"
"284","Kent Conrad","January 3, 1987",102,NA,NA,"1948-03-12"
"285","Slade Gorton","January 3, 1989",102,NA,NA,"1928-01-08"
"286","Trent Lott","January 3, 1989",102,NA,NA,"1941-10-09"
"287","Jim Jeffords","January 3, 1989",102,NA,NA,"1934-05-11"
"288","Dan Coats","January 3, 1989",102,NA,NA,"1943-05-16"
"289","Connie Mack","January 3, 1989",102,NA,NA,"1940-10-29"
"290","Richard Bryan","January 3, 1989",102,NA,NA,"1937-07-16"
"291","Chuck Robb","January 3, 1989",102,NA,NA,"1939-06-26"
"292","Bob Kerrey","January 3, 1989",102,NA,NA,"1943-08-27"
"293","Herb Kohl","January 3, 1989",102,NA,NA,"1935-02-07"
"294","Joe Lieberman","January 3, 1989",102,NA,NA,"1942-02-24"
"295","Conrad Burns","January 3, 1989",102,NA,NA,"1935-01-25"
"296","Daniel Akaka","May 16, 1990",102,NA,NA,"1924-09-11"
"297","Bob Smith","December 7, 1990",102,NA,NA,"1941-03-30"
"298","Hank Brown","January 3, 1991",102,NA,NA,"1940-02-12"
"299","Larry Craig","January 3, 1991",102,NA,NA,"1945-07-20"
"300","Paul Wellstone","January 3, 1991",102,NA,NA,"1944-07-21"
"301","Strom Thurmond","November 7, 1956",103,NA,NA,"1902-12-05"
"302","Robert Byrd","January 3, 1959",103,NA,NA,"1917-11-20"
"303","Claiborne Pell","January 3, 1961",103,NA,NA,"1918-11-22"
"304","Ted Kennedy","November 7, 1962",103,NA,NA,"1932-02-22"
"305","Daniel Inouye","January 3, 1963",103,NA,NA,"1924-09-07"
"306","Ernest Hollings","November 9, 1966",103,NA,NA,"1922-01-01"
"307","Mark Hatfield","January 10, 1967",103,NA,NA,"1922-07-12"
"308","Ted Stevens","December 24, 1968",103,NA,NA,"1923-11-18"
"309","Bob Dole","January 3, 1969",103,NA,NA,"1923-07-22"
"310","Bob Packwood","January 3, 1969",103,NA,NA,"1932-09-11"
"311","Bill Roth","January 1, 1971",103,NA,NA,"1921-07-22"
"312","Sam Nunn","November 8, 1972",103,NA,NA,"1938-09-08"
"313","Bennett Johnston Jr.","November 14, 1972",103,NA,NA,"1932-06-10"
"314","Jesse Helms","January 3, 1973",103,NA,NA,"1921-10-18"
"315","Pete Domenici","January 3, 1973",103,NA,NA,"1932-05-07"
"316","Joe Biden","January 3, 1973",103,NA,NA,"1942-11-20"
"317","John Glenn","December 24, 1974",103,NA,NA,"1921-07-18"
"318","Wendell H. Ford","December 28, 1974",103,NA,NA,"1924-09-08"
"319","Dale Bumpers","January 3, 1975",103,NA,NA,"1925-08-12"
"320","Patrick Leahy","January 3, 1975",103,NA,NA,"1940-03-31"
"321","John Danforth","December 27, 1976",103,NA,NA,"1936-09-05"
"322","Howard Metzenbaum","December 29, 1976",103,NA,NA,"1917-06-04"
"323","John Chafee","December 29, 1976",103,NA,NA,"1922-10-22"
"324","Donald W. Riegle, Jr.","December 30, 1976",103,NA,NA,"1938-02-04"
"325","Paul Sarbanes","January 3, 1977",103,NA,NA,"1933-02-03"
"326","Pat Moynihan","January 3, 1977",103,NA,NA,"1927-03-16"
"327","Richard Lugar","January 3, 1977",103,NA,NA,"1932-04-04"
"328","Jim Sasser","January 3, 1977",103,NA,NA,"1936-09-30"
"329","Dennis DeConcini","January 3, 1977",103,NA,NA,"1937-05-08"
"330","Orrin Hatch","January 3, 1977",103,NA,NA,"1934-03-22"
"331","Malcolm Wallop","January 3, 1977",103,NA,NA,"1933-02-27"
"332","David Durenberger","November 8, 1978",103,NA,NA,"1934-08-19"
"333","Max Baucus","December 15, 1978",103,NA,NA,"1941-12-11"
"334","Nancy Kassebaum Baker","December 23, 1978",103,NA,NA,"1932-07-29"
"335","Thad Cochran","December 27, 1978",103,NA,NA,"1937-12-07"
"336","Alan K. Simpson","January 1, 1979",103,NA,NA,"1931-09-02"
"337","John Warner","January 2, 1979",103,NA,NA,"1927-02-18"
"338","David Pryor","January 3, 1979",103,NA,NA,"1934-08-29"
"339","William Cohen","January 3, 1979",103,NA,NA,"1940-08-28"
"340","Larry Pressler","January 3, 1979",103,NA,NA,"1942-03-29"
"341","David L. Boren","January 3, 1979",103,NA,NA,"1941-04-21"
"342","J. James Exon","January 3, 1979",103,NA,NA,"1921-08-09"
"343","Carl Levin","January 3, 1979",103,NA,NA,"1934-06-28"
"344","Bill Bradley","January 3, 1979",103,NA,NA,"1943-07-28"
"345","Howell Heflin","January 3, 1979",103,NA,NA,"1921-06-19"
"346","George J. Mitchell","May 17, 1980",103,NA,NA,"1933-08-20"
"347","Chris Dodd","January 3, 1981",103,NA,NA,"1944-05-27"
"348","Chuck Grassley","January 3, 1981",103,NA,NA,"1933-09-17"
"349","Al D'Amato","January 3, 1981",103,NA,NA,"1937-08-01"
"350","Arlen Specter","January 3, 1981",103,NA,NA,"1930-02-12"
"351","Don Nickles","January 3, 1981",103,NA,NA,"1948-12-06"
"352","Frank Murkowski","January 3, 1981",103,NA,NA,"1933-03-28"
"353","Frank Lautenberg","December 27, 1982",103,NA,NA,"1924-01-23"
"354","Jeff Bingaman","January 3, 1983",103,NA,NA,"1943-10-03"
"355","John Kerry","January 2, 1985",103,NA,NA,"1943-12-11"
"356","Paul Simon","January 3, 1985",103,NA,NA,"1941-10-13"
"357","Tom Harkin","January 3, 1985",103,NA,NA,"1939-11-19"
"358","Phil Gramm","January 3, 1985",103,NA,NA,"1942-07-08"
"359","Mitch McConnell","January 3, 1985",103,NA,NA,"1942-02-20"
"360","Jay Rockefeller","January 15, 1985",103,NA,NA,"1937-06-18"
"361","John Breaux","January 3, 1987",103,NA,NA,"1944-03-01"
"362","Barbara Mikulski","January 3, 1987",103,NA,NA,"1936-07-20"
"363","Richard Shelby","January 3, 1987",103,NA,NA,"1934-05-06"
"364","Tom Daschle","January 3, 1987",103,NA,NA,"1947-12-09"
"365","John McCain","January 3, 1987",103,NA,NA,"1936-08-29"
"366","Harry Reid","January 3, 1987",103,NA,NA,"1939-12-02"
"367","Bob Graham","January 3, 1987",103,NA,NA,"1936-11-09"
"368","Kit Bond","January 3, 1987",103,NA,NA,"1939-03-06"
"369","Kent Conrad","January 3, 1987",103,NA,NA,"1948-03-12"
"370","Slade Gorton","January 3, 1989",103,NA,NA,"1928-01-08"
"371","Trent Lott","January 3, 1989",103,NA,NA,"1941-10-09"
"372","Jim Jeffords","January 3, 1989",103,NA,NA,"1934-05-11"
"373","Dan Coats","January 3, 1989",103,NA,NA,"1943-05-16"
"374","Connie Mack","January 3, 1989",103,NA,NA,"1940-10-29"
"375","Richard Bryan","January 3, 1989",103,NA,NA,"1937-07-16"
"376","Chuck Robb","January 3, 1989",103,NA,NA,"1939-06-26"
"377","Bob Kerrey","January 3, 1989",103,NA,NA,"1943-08-27"
"378","Herb Kohl","January 3, 1989",103,NA,NA,"1935-02-07"
"379","Joe Lieberman","January 3, 1989",103,NA,NA,"1942-02-24"
"380","Conrad Burns","January 3, 1989",103,NA,NA,"1935-01-25"
"381","Daniel Akaka","May 16, 1990",103,NA,NA,"1924-09-11"
"382","Bob Smith","December 7, 1990",103,NA,NA,"1941-03-30"
"383","Hank Brown","January 3, 1991",103,NA,NA,"1940-02-12"
"384","Larry Craig","January 3, 1991",103,NA,NA,"1945-07-20"
